id,check,checkingpeer,state,time
1,1,nancymartinez,start,10:05:00
2,1,nancymartinez,success,10:45:00
3,2,kennethgraham,start,11:55:43
4,2,kennethgraham,success,12:23:33
5,3,laurenwood,start,14:01:45
6,3,laurenwood,success,14:32:04
7,4,frankray,start,20:03:01
8,4,frankray,success,21:10:01
9,5,pamelawalker,start,23:00:00
10,5,pamelawalker,success,23:25:34
11,6,troybrown,start,21:15:00
12,6,troybrown,success,21:47:23
13,7,kennethgraham,start,13:30:00
14,7,kennethgraham,success,13:47:23
15,8,frankray,start,16:15:00
16,8,frankray,success,16:53:53
17,9,nancywilson,start,17:00:00
18,9,nancywilson,success,17:05:01
19,10,nancymartinez,start,21:30:00
20,10,nancymartinez,success,22:14:51
21,11,nancymartinez,start,16:00:00
22,11,nancymartinez,success,16:43:18
23,12,pamelawalker,start,19:00:00
24,12,pamelawalker,success,19:44:43
25,13,troybrown,start,14:15:00
26,13,troybrown,success,14:47:12
27,14,frankray,start,12:30:00
28,14,frankray,success,13:01:18
29,15,kennethgraham,start,9:00:00
30,15,kennethgraham,success,14:30:33
31,16,laurenwood,start,12:45:00
32,16,laurenwood,success,13:23:54
33,17,nancywilson,start,22:00:00
34,17,nancywilson,success,22:43:22
35,18,kennethgraham,start,0:00:15
36,18,kennethgraham,success,1:07:18
37,19,laurenwood,start,13:30:00
38,19,laurenwood,success,13:59:49
39,20,nancymartinez,start,19:15:14
40,20,nancymartinez,fail,19:45:14
41,21,nancywilson,start,20:45:14
42,21,nancywilson,success,21:15:14
43,22,kennethgraham,start,6:45:14
44,22,kennethgraham,success,7:10:14
45,23,laurenwood,start,2:25:14
46,23,laurenwood,success,2:58:14
47,24,nancywilson,start,22:48:47
48,24,nancywilson,success,23:15:47
49,25,nancymartinez,start,0:20:19
50,25,nancymartinez,success,1:10:19
51,26,pamelawalker,start,22:45:13
52,26,pamelawalker,success,23:20:43
53,27,frankray,start,12:45:23
54,27,frankray,success,13:29:10
55,28,frankray,start,9:30:24
56,28,frankray,success,10:15:01
57,29,frankray,start,16:17:41
58,29,frankray,success,16:50:41
59,30,kennethgraham,start,11:30:00
60,30,kennethgraham,success,11:55:33
61,31,troybrown,start,12:00:00
62,31,troybrown,success,12:31:10
63,32,frankray,start,13:58:21
64,32,frankray,fail,14:32:56
65,33,nancymartinez,start,22:05:05
66,33,nancymartinez,success,22:55:05
67,34,kennethgraham,start,22:15:00
68,34,kennethgraham,success,22:45:00
